Item ID,Item_Description,Category,Year_Month_Str,Actual,Baseline_Predicted,Method,GB_Predicted
S32-RETRHL-NPNK,Retractable Highlighter - Refill - Neon Pink,Stationery,2025-09,3,5.0,SMA(3),3.4
S32-RETRHL-NPNK,Retractable Highlighter - Refill - Neon Pink,Stationery,2025-10,6,5.0,SMA(3),5.6
S32-RETRHL-NPNK,Retractable Highlighter - Refill - Neon Pink,Stationery,2025-11,3,4.0,SMA(3),2.9
S32-RETRHL-NPNK,Retractable Highlighter - Refill - Neon Pink,Stationery,2025-12,15,4.0,SMA(3),13.2
S32-RETRHL-NPNK,Retractable Highlighter - Refill - Neon Pink,Stationery,2026-01,21,8.0,SMA(3),20.5
S32-RETRHL-NPUR,Retractable Highlighter - Refill - Neon Purple,Stationery,2025-07,3,3.0,Naive,3.4
S32-RETRHL-NPUR,Retractable Highlighter - Refill - Neon Purple,Stationery,2025-09,3,3.0,SMA(3),3.4
S32-RETRHL-NYLW,Retractable Highlighter - Refill - Neon Yellow,Stationery,2025-07,24,11.7,SMA(3),19.7
S32-RETRHL-NYLW,Retractable Highlighter - Refill - Neon Yellow,Stationery,2025-08,51,17.7,SMA(3),45.9
S32-RETRHL-NYLW,Retractable Highlighter - Refill - Neon Yellow,Stationery,2025-09,18,33.0,SMA(3),15.9
S32-RETRHL-NYLW,Retractable Highlighter - Refill - Neon Yellow,Stationery,2025-10,3,31.0,SMA(3),2.4
S32-RETRHL-NYLW,Retractable Highlighter - Refill - Neon Yellow,Stationery,2025-11,6,24.0,SMA(3),5.5
S32-RETRHL-NYLW,Retractable Highlighter - Refill - Neon Yellow,Stationery,2025-12,39,9.0,SMA(3),38.5
S32-RETRHL-NYLW,Retractable Highlighter - Refill - Neon Yellow,Stationery,2026-01,24,16.0,SMA(3),23.1
S32-SETLUG-WNE6,Set Travel Luggage Organizer - Set of 6 - Wine,Travel,2025-11,2,1.7,SMA(3),1.9
S32-STLUG2-GRN7,Set Travel Luggage Organizer Style 2 - Set of 7 - Green,Travel,2025-09,2,1.3,SMA(3),1.8
